Time,P3,F3,C3,Cz,T7,P4,F4,C4,T8
0.14,-38.6906979,933.3965394,284.6429988,275.4043524,628.859402,896.7674844,611.4737473,3.17444232,294.8201472
0.142,-36.9250729,951.2108704,285.0678035,276.5669501,630.960232,895.6946084,614.4239426,2.749759703,295.401324
0.144,-37.86354947,952.6637513,283.3016902,274.9351141,630.8933375,894.4652688,618.3585129,-0.424190492,296.5635554
0.146,-42.0656979,946.8075501,279.3905574,273.7056219,627.8088649,893.0794351,616.1007004,-2.793453188,296.1165339
0.148,-41.61892056,945.0864808,279.3680965,274.3760321,626.3113063,895.5381448,616.8155442,-1.340633363,295.7588679
0.15,-43.13894009,941.5549867,279.5243465,275.4937079,625.1489528,896.9462869,618.6710129,3.241458922,296.6977107
0.152,-43.54079556,940.1021058,280.0160457,276.0527899,624.031277,897.7956521,616.0333176,6.549564391,296.5858943
0.154,-41.68581509,942.4043519,281.7372371,277.0586493,625.0818141,894.3981912,621.3975754,-3.195796938,299.4021784
0.156,-39.29421353,943.9689271,282.5643855,278.5562079,626.0429957,894.6217019,625.9356614,-3.329952211,298.0164363
0.158,-38.55642056,940.3032777,281.6703425,276.2090399,622.3550074,896.4769265,618.336052,-3.128780336,293.0096003
0.16,-38.64577603,938.0010316,279.3456355,275.0469305,621.2820094,897.9297769,608.5684739,-1.787654848,292.5179011
0.162,-37.55056118,942.4043519,277.646905,275.7622626,623.137234,898.7344339,599.7842942,0.447513609,293.4789607
0.164,-40.52370572,957.536432,271.4554988,274.7114813,623.9641383,896.6333596,598.8223801,0.313419371,295.8260066
0.166,-38.55642056,939.7667787,278.7870418,276.3208563,622.5783961,894.0405862,600.3878098,-0.558284731,295.9600398
0.168,-37.70729947,929.2838685,285.85003,277.617243,620.4551051,890.6430948,600.4092942,-2.860530824,294.5071589
0.17,-39.60720181,933.4412171,283.5702449,274.1304266,618.4433863,889.5925882,600.2530442,-6.615657777,286.6393611
0.172,-39.36110806,933.6871888,280.9774715,272.9683172,618.8904078,889.5702188,600.9239426,-8.493160219,281.6101863
0.174,-38.55642056,934.5588929,282.5643855,274.8008368,622.9585231,889.5478799,600.7003098,-7.844966859,287.5782038
0.176,-38.26589322,940.2809388,282.7430965,275.8291571,625.5288356,889.614927,600.2081223,-7.219112367,289.7016169
0.178,-37.37185025,949.4227845,283.6146785,273.7949774,626.0205348,889.5702188,597.8839036,-6.257991762,288.4945857
0.18,-36.88015103,955.1448304,285.0902644,274.1079657,627.3840602,890.2184121,596.9229661,-6.19097516,289.0534236
0.182,-34.42165493,949.6016175,287.5262996,274.9351141,629.0605738,891.8948037,598.2413254,-4.715755434,287.533404
0.184,-33.28151822,941.7113587,288.7108699,274.9351141,630.3569606,892.9006326,601.6163254,-2.905269594,288.4499079
0.186,-33.95192837,932.1224915,289.8060847,278.1538641,630.803982,891.939512,605.5284348,-2.77111432,289.7909724
0.188,-35.06960415,921.170099,291.4154597,280.7910712,630.982693,890.8219278,607.6065598,-3.017024965,292.54024
0.19,-37.43923306,931.2954652,290.4989558,279.405329,629.6191676,890.3972451,604.8575364,-3.329952211,291.3780085
0.192,-39.60720181,949.2662904,288.0404597,277.8853094,629.5744899,889.1902444,601.5049973,-3.441707582,290.7298152
0.194,-38.5344479,953.2225892,287.481866,277.9526922,630.5132106,889.1902444,603.0245286,-2.01116559,290.4838435
0.196,-36.2766354,952.3508851,287.3925105,277.7515204,629.8428004,892.0289285,604.7686692,-1.385311098,290.5286433
0.198,-35.94167447,949.6462953,286.3192683,276.9243719,628.8816188,892.6547525,608.836052,-0.111263246,296.809405
0.2,-35.13698697,948.3052308,285.3807918,276.6563055,625.975857,891.2689492,606.9815598,-0.692440004,297.1223933
0.202,-34.555444,946.114679,286.587823,276.4551337,621.9526637,891.2689492,602.9805832,2.995609312,292.2720515
0.204,-34.08620572,944.2819154,288.4203425,276.2090399,620.9021266,890.0619485,614.6700364,-2.36877057,290.0814997
0.206,-34.399194,943.1642396,288.8451472,273.6611883,621.2820094,889.6372659,623.6553879,-9.789546938,289.0534236
0.208,-36.9695065,940.5044496,285.7382136,271.023493,620.3879664,890.2184121,615.7432786,-7.263851137,282.3478572
0.21,-38.33327603,941.2196595,285.2015925,272.2974188,621.2820094,890.7325113,605.9971848,-5.118038148,278.7268855
0.212,-38.28835415,942.9407288,285.8051082,273.9961493,620.0749781,891.0901468,603.851677,-3.285213441,282.5043513
0.214,-36.2766354,946.5840394,288.4877254,274.9126532,623.4502223,893.45944,605.8184739,-1.60882184,286.3935115
0.216,-33.95192837,947.6345765,289.1805965,275.6948797,626.6240504,895.2922647,608.7471848,-0.312435121,290.1039607
0.218,-32.52175259,949.5568177,289.962823,274.420954,629.6863063,895.9181192,609.0147629,-0.178340883,293.6577937
